<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
unknown,unknown - supposedly exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,3.0,"Off Cap Bon sinking boat heading towards Lampedusa, 3 dead, 35 survivors (Jun 29, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,9.0,"drowned, vessel capsized near Capo Bon (TN) on way to Italy (Jun 28, 2003). From Del Grande's data set (translated): It sinks off Sidi Daoud a ship bound for Italy, 9 dead (Jun 30, 2003)",capo,38.158524,14.742693,"38.158524, 14.742693",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,1.0,"Found on the beaches of Ceuta the corpse of a man drowned trying to swim to the Spanish enclave (Jun 25, 2003)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,2.0,"drowned, dead bodies found flooting in front of Tarifa (E) (Jun 22, 2003). From Del Grande's data set (translated): Found on the beaches of Tarifa, Cadiz, the bodies of two drowned girls (Jun 25, 2003)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,189.0,"reportedly drowned, boat capsized on way from Libya to Italy near port of Sfax (Jun 19, 2003). From Del Grande's data set (translated): Off the Tunisian coast boat sinks with 189 people on board. No survivor, recovered 20 bodies, all others are scattered (Jun 20, 2003)",sfax,34.745159,10.7613,"34.745159, 10.7613",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,20.0,"drowned, boat capsized on way from Libya to Italy near port of Sfax (Jun 19, 2003)",sfax,34.745159,10.7613,"34.745159, 10.7613",Central Mediterranean Route
died from dehydration,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,200.0,"According to the Ghanaian embassy in Tripoli, at least 200 young Ghanaians would have died of dehydration crossing the Sahara desert in Niger to enter Libya between January and June 2003 (Jun 19, 2003)",tripoli,32.876174,13.187507,"32.876174, 13.187507",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,1.0,"stowaway, drowned, jumped overboard a containership in English Channel (Jun 17, 2003). From Del Grande's data set (translated): Tucked away on a freighter, young plunges into the sea in the waters of Eastbourne, but drowned (Jun 18, 2003)","Eastbourne, UK",50.768035,0.290472,"50.768035, 0.290472",Unknown
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,63.0,"reportedly drowned, ship sank on way from Tunisia to Lampedusa (I) (Jun 15, 2003). From Del Grande's data set (translated): Small vessel sinks off Lampedusa, 7 dead, 60 missing (Jun 17, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,3.0,"drowned, ship sank on way from Tunisia to Lampedusa (I) (Jun 15, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,4.0,"drowned, after boat sank on way from Tunisia to Lampedusa (I) (Jun 15, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,30.0,"reportedly drowned when dinghy capsized near Tarifa on way to Spain (Jun 13, 2003)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,9.0,"Rescued a boat 800 meters off the coast of Tuineje Fuerteventura in the Canary Islands. During the transhipment boat capsizes and die 9 people. One of the bodies is lost at sea (Jun 11, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
suicide - hanged,suicide,2Q2003,2003 -- 6,2003.0,0.0,0.0,1.0,"suicide, hanged himself in house in Blackburn (GB) awaiting decision on asylum claim (Jun 6, 2003)","Blackburn, UK",53.748575,-2.487529,"53.748575, -2.487529",Unknown
burned,"violent accidental death (transport, blown in minefield...)",2Q2003,2003 -- 6,2003.0,0.0,0.0,4.0,"Catches fire started from a kwassa kwassa Domains, Anjouan and Mayotte to direct, 4 dead (Jun 6, 2003)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244",Unknown
unknown,unknown - supposedly exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,2.0,"Small boat collides on the rocks in Salobrena, 2 dead (Jun 6, 2003)",salobre,38.592861,-2.549821,"38.592861, -2.549821",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,5.0,"drowned, dead bodies found near he beach of Sid Kacem, Tanger (MA) (Jun 4, 2003)",kacem,35.693271,-0.647622,"35.693271, -0.647622",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,4.0,"drowned, dead bodies found near beach of Sid Kacem, Tanger (MA) (Jun 4, 2003)",kacem,35.693271,-0.647622,"35.693271, -0.647622",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 6,2003.0,0.0,0.0,3.0,"Found the bodies of three men drowned the day before in the waters of Tuineje, Fuerteventura, in the Canary Islands (Jun 3, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 5,2003.0,0.0,0.0,15.0,"reportedly drowned, after boat capsized during rescue attempt near Fuerteventura (E) (May 30, 2003). From Del Grande's data set (translated): A vessel of the Guardia Civil boat rescues two miles from the island of Fuerteventura, in the Canary Islands, but the passengers stand up and the boat capsizes. 12 people die drowned. Their bodies are lost at sea (Jun 2, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
unknown,unknown - supposedly exhaustion related death,2Q2003,2003 -- 5,2003.0,0.0,0.0,1.0,"rejected asylum seeker found dead in a bus shelter in Boxmeer (NL) (May 16, 2003)","Boxmeer, Netherlands",51.645269,5.956666,"51.645269, 5.956666",Unknown
drowned,drowning or exhaustion related death,2Q2003,2003 -- 5,2003.0,0.0,0.0,4.0,"drowned, bodies found in fishing net near Lampedusa (I) (May 14, 2003). From Del Grande's data set (translated): A fishing boat off Lampedusa recover the remains of four bodies from the sea (May 15, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 5,2003.0,0.0,0.0,6.0,"reportedly drowned, trying to avoid detection by coast guard near Salobreâˆšâ‰ a (E) (May 5, 2003)",salobre,38.592861,-2.549821,"38.592861, -2.549821",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 5,2003.0,0.0,0.0,2.0,"drowned, trying to avoid detection by coastguard near city of Salobreia (E) (May 5, 2003)",salobre,38.592861,-2.549821,"38.592861, -2.549821",Western Mediterranean route
suicide - other,suicide,2Q2003,2003 -- 5,2003.0,0.0,0.0,1.0,"suicide, denied access to interpreter, suffered from paranoid psychosis (May 4, 2003)",Great Britain,55.378051,-3.435973,"55.378051, -3.435973",Unknown
unknown,unknown - supposedly exhaustion related death,2Q2003,2003 -- 4,2003.0,0.0,0.0,1.0,"dead body found in a boat intercepted in the Gulf of Cadiz (E) (Apr 25, 2003)",cadiz,36.527061,-6.288596,"36.527061, -6.288596",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 4,2003.0,0.0,0.0,2.0,"drowned after shipweck in Lanzarote (E) (Apr 24, 2003). From Del Grande's data set (translated): It overturns a boat just 20 meters from the beach in Barranco de Quiquere, on the island of Lanzarote, in the Canary Islands. One dead and one missing (Apr 26, 2003)",lanzarote,29.046854,-13.589973,"29.046854, -13.589973",Western African route
drowned,drowning or exhaustion related death,2Q2003,2003 -- 4,2003.0,0.0,0.0,2.0,"drowned in the waters of Bahia Feliz (E), their boat had been intercepted earlier (Apr 9, 2003)","Bahia Feliz, Spain",27.78085,-15.520694,"27.78085, -15.520694",Western African route
suicide - hanged,suicide,2Q2003,2003 -- 4,2003.0,0.0,0.0,1.0,"suicide, found hanged in toilet of psychiatric ward at Heatherwood Hospital (GB) (Apr 8, 2003)","Heatherwood Hospital, UK",51.409994,-0.687312,"51.409994, -0.687312",Unknown
blown in minefield,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 3,2003.0,0.0,0.0,2.0,"died on Thracian (TR/GR) border straying into marked minefield in thick fog (Mar 31, 2003)",Thrace,42,26,"42, 26",Eastern Mediterranean route
starved,drowning or exhaustion related death,1Q2003,2003 -- 3,2003.0,0.0,0.0,13.0,"Intercepted boat adrift for 14 days, 130 miles to the south of the island of El Hierro, in the Canary Islands. Passengers speak of 12 died of starvation. Their bodies were thrown overboard by his companions. A man dies during rescue (Mar 31, 2003)",hierro,27.725499,-18.024301,"27.725499, -18.024301",Western African route
blown in minefield,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 3,2003.0,0.0,0.0,2.0,"1 dead, 1 injured on antipersonnel minefields in Evros, on the northeastern border with Turkey (Mar 26, 2003)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
suicide - put on fire,suicide,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"asylum seeker, set fire to himself in Diever (NL) after being caught stealing (Mar 24, 2003)","Diever, Netherlands",52.854738,6.317742,"52.854738, 6.317742",Unknown
suicide - hanged,suicide,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"hanged himself in police custody in Valetta in fear of deportation (Mar 10, 2003)",Valetta,35.89779,14.514106,"35.89779, 14.514106",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"found dead in his cell in Heathrow police station  (Mar 10, 2003)",heathrow,51.47238,-0.45094,"51.47238, -0.45094",Unknown
shot by the police,authorities related death,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"shot by border guard while trying to cross border between Morocco and Spain (Mar 9, 2003)",morocco,31.791702,-7.09262,"31.791702, -7.09262",Western Mediterranean route
drowned,drowning or exhaustion related death,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"drowned, ship sunk on way from North-Africa to Lampedusa (I) in international water (Mar 9, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2003,2003 -- 3,2003.0,0.0,0.0,5.0,"drowned near the Island of Evia (GR) trying to reach Greek coast by boat (Mar 9, 2003)",evia,38.523604,23.858474,"38.523604, 23.858474",Eastern Mediterranean route
suicide - put on fire,suicide,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"Armenian, set himself on fire in Biedenkopf (D), asylum application was rejected (Mar 9, 2003)","Biedenkopf, Germany",50.912151,8.530123,"50.912151, 8.530123",Unknown
suicide - put on fire,suicide,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"set fire to himself, after being denied necessary medication in Manchester (GB) (Mar 8, 2003)","Manchester, UK",53.479324,-2.248485,"53.479324, -2.248485",Unknown
drowned,drowning or exhaustion related death,1Q2003,2003 -- 3,2003.0,0.0,0.0,1.0,"drowned, tried to swim to Spain body found floating in a bay south of Ceuta (E/MA) (Mar 1, 2003)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,7.0,"Seven died in a shipwreck in the bay of Kani Keli, Mayotte (Feb 28, 2003)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244",Unknown
hypothermia,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"dead body found near Kamanitsa (UA) few meters from UA-SK border (Feb 27, 2003). From Del Grande's data set (translated): Found the body of a man frozen to death trying to walk across the border between Ukraine and Slovakia (Feb 27, 2003)",slovakia,48.669026,19.699024,"48.669026, 19.699024",Eastern Borders route
died from dehydration,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,12.0,"Found 12 deaths from dehydration in a ship in the Atlantic Ocean. The boat, live in Fuerteventura, had been abandoned by the captain into open sea after an engine failure (Feb 25, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
frozen,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"stowaway, fell from plane wheelbay under flight path to airport near Paris (F) (Feb 24, 2003). From Del Grande's data set (translated): Paris, falls from the undercarriage of a plane landing, the body of a young man froze to death during the trip (Feb 25, 2003)",paris,48.856614,2.352222,"48.856614, 2.352222",Unknown
car accident,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"crushed to death trying to climb lorry in Calais (F) ferry terminal on his way to GB (Feb 23, 2003). From Del Grande's data set (translated): Eighteen year old dies crushed by the truck on which he was trying to climb on the sly, in Calais, to Dover to board (Feb 24, 2003)",dover,51.127876,1.313403,"51.127876, 1.313403",Unknown
car accident,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"hit by lorry in Calais (F), trying to reach Great-Britain as a stowaway (Feb 22, 2003)",calais,50.95129,1.858686,"50.95129, 1.858686",Unknown
suicide - hanged,suicide,1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"suicide, hanged herself with scarf in police cel in Emmen (NL) in fear of deportation (Feb 21, 2003)","Emmen, Netherlands",52.785804,6.897585,"52.785804, 6.897585",Unknown
starved,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,12.0,"died of thirst/hunger after 14 days at sea, going from Morocco to Fuerteventura (E) (Feb 19, 2003). From Del Grande's data set (translated): Rescued a boat adrift for 15 days 220 kilometers south of the Canaries. On board only 6 survivors. Another 12 people have died of starvation and their bodies thrown overboard by his companions (Feb 21, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,15.0,"reportedly drowned, boat capsized during rescue attempt near Fuerteventura (E) (Feb 11, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
unknown,unknown - supposedly exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,9.0,"Direct vessel sinks in Sicily off the coast of Libya, 9 dead (Feb 10, 2003)",sicily,37.599994,14.015356,"37.599994, 14.015356",Central Mediterranean Route
fall,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"jumped out of the window trying to escape police check in Sartrouville (F) (Feb 8, 2003)","Sartrouville, France",48.941106,2.158431,"48.941106, 2.158431",Unknown
drowned,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,2.0,"missing, after boat capsized during rescue attempt near Fuerteventura (E) (Feb 5, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,9.0,"drowned, after boat capsized during rescue attempt near Fuerteventura (E) (Feb 5, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
fall,"violent accidental death (transport, blown in minefield...)",1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"fell from bridge over M60, at Stockport (GB) after his asylum claim was rejected (Feb 4, 2003)","Stockport, UK",53.406754,-2.158843,"53.406754, -2.158843",Unknown
drowned,drowning or exhaustion related death,1Q2003,2003 -- 2,2003.0,0.0,0.0,1.0,"Found by wetting the corpse of a drowned boy on the beach of Fuente Caballo Ceuta (Feb 3, 2003)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
lack of medical care,drowning or exhaustion related death,4Q2003,2003 -- 12,2003.0,0.0,0.0,1.0,"mother deported ill/pregnant from Germany, imprisoned in Congo, no medical care (Dec 31, 2003)",congo,-0.228021,15.827659,"-0.228021, 15.827659",Unknown
lack of medical care,drowning or exhaustion related death,4Q2003,2003 -- 12,2003.0,0.0,0.0,2.0,"deported pregnant from Germany, imprisoned in Congo, got late medical care,baby died (Dec 31, 2003)",congo,-0.228021,15.827659,"-0.228021, 15.827659",Unknown
suicide - put on fire,suicide,4Q2003,2003 -- 12,2003.0,0.0,0.0,1.0,"suicide, set fire to himself in London in fear of deportation (Dec 31, 2003)",london,51.511214,-0.119824,"51.511214, -0.119824",Unknown
